acid – Elixir	adventure – Party Potion	air – Elixir
stew – Elixir	stick – Snake Oil	sticker – Snake Oil
stool – Snake Oil	storm – Snake Oil	story – Snake Oil
stove – Elixir	strap – Elixir	straw – Elixir
street – Elixir	stress – Party Potion	string – Snake Oil
sugar – Party Potion	suit – Snake Oil	sun – Snake Oil
surgery – Elixir	surprise – Elixir	sushi – Elixir
swamp – Elixir	sweat – Snake Oil	sweater – Elixir
swing – Party Potion	switch – Elixir	sword – Snake Oil
syrup – Elixir	table – Snake Oil	taco – Elixir
tail – Elixir	tambourine – Elixir	tank – Snake Oil
tape – Snake Oil	tar – Elixir	tarp – Snake Oil
taser – Elixir	tattoo – Snake Oil	tax – Snake Oil
team – Snake Oil	tear – Snake Oil	telephone – Elixir
telescope – Elixir	tent – Snake Oil	test – Party Potion
therapy – Elixir	thorn – Elixir	throat – Elixir
throne – Elixir	ticket – Snake Oil	tickle – Party Potion
tie – Snake Oil	tiger – Elixir	time – Snake Oil
toe – Snake Oil	tofu – Snake Oil	toilet – Snake Oil
tomb – Elixir	tongue – Snake Oil	tooth – Snake Oil
torch – Party Potion	tornado – Elixir	torpedo – Party Potion
towel – Snake Oil	tower – Elixir	toy – Snake Oil
traffic – Snake Oil	trail – Party Potion	training – Party Potion
trampoline – Party Potion	trap – Snake Oil	trash – Elixir
tray – Elixir	treadmill – Elixir	treasure – Elixir
tree – Snake Oil	trick – Elixir	trigger – Elixir
trophy – Party Potion	truck – Snake Oil	trumpet – Party Potion
trust – Elixir	truth – Snake Oil	tsunami – Elixir
tub – Party Potion	tube – Elixir	tummy – Party Potion
tumor – Elixir	tunnel – Snake Oil	turtle – Elixir
tutu – Elixir	tuxedo – Elixir	tv – Snake Oil
umbrella – Snake Oil	underwear – Snake Oil	unicorn – Elixir
uniform – Party Potion	urge – Snake Oil	urinal – Elixir
vacation – Elixir	vaccine – Elixir	vacuum – Snake Oil
vapor – Elixir	vault – Elixir	velcro – Elixir
vest – Snake Oil	victory – Party Potion	video – Party Potion
vine – Elixir	virus – Snake Oil	vision – Elixir
vitamin – Elixir	voice – Elixir	volcano – Party Potion
vomit – Snake Oil	wagon – Elixir	wall – Snake Oil
wand – Elixir	war – Snake Oil	water – Snake Oil
wax – Snake Oil	web – Elixir	wheel – Snake Oil
whip – Snake Oil	whistle – Snake Oil	wig – Snake Oil
wind – Snake Oil	window – Snake Oil	wings – Snake Oil
wire – Elixir	wisdom – Elixir	wish – Party Potion
work – Snake Oil	worm – Snake Oil	yarn – Party Potion
yawn – Snake Oil	zit – Elixir	
